25.13,0,0.07,360,no
25.38,0,0.08,370,no
26.13,0,0.07,1055,no
25.19,0,0.07,345,no
25.38,0,0.06,365,no
25.13,0,0.06,355,no
25.31,0,0.07,350,no
25.63,0,0.07,565,no
25.06,7,0.08,360,no
25.31,0,0.08,355,no
25.63,0,0.07,510,no
25.38,0,0.07,355,no
25.31,0,0.07,365,no
26.06,0,0.07,965,no
25.31,0,0.07,360,no
25.38,0,0.07,365,no
26.31,0,0.07,1210,no
25.31,17,0.07,355,no
25.06,5,0.07,350,no
25.31,0,0.07,360,no
25.19,0,0.07,345,no
25.5,0,0.07,385,no
25,2,0.08,355,no
25.31,0,0.08,355,no
25.31,0,0.06,365,no
25.31,0,0.07,355,no
25.13,6,0.08,350,no
25.63,0,0.07,585,no
25.63,0,0.06,540,no
25.88,0,0.07,880,no
25.31,0,0.07,345,no
25.06,0,0.08,345,no
25.38,0,0.06,365,no
25.44,0,0.07,385,no
25.19,0,0.07,360,no
25.88,14,0.07,685,no
25.38,0,0.07,365,no
25.13,0,0.08,350,no
25.5,0,0.07,380,no
25.13,0,0.07,345,no
25.69,0,0.07,665,no
25.69,0,0.06,595,no
25.06,6,0.08,360,no
25.69,0,0.07,595,no
25.06,5,0.08,360,no
25.38,0,0.07,370,no
25.25,0,0.07,345,no
25.25,0,0.07,345,no
25.19,0,0.08,360,no
25.06,0,0.08,345,no
25.44,0,0.08,350,no
25.13,10,0.08,355,no
25.44,4,0.07,355,no
26.06,0,0.07,970,no
25.19,14,0.08,360,no
25.06,0,0.08,355,no
25.06,5,0.07,360,no
25.5,0,0.07,385,no
25.25,0,0.07,345,no
25.19,13,0.08,355,no
25.38,0,0.08,355,no
25.25,0,0.07,355,no
25.25,0,0.07,345,no
25.56,0,0.07,485,no
25.19,15,0.08,355,no
25.75,9,0.07,435,no
25.44,2,0.07,350,no
25.44,0,0.06,370,no
25.06,1,0.06,360,no
25.25,0,0.07,345,no
25.5,0,0.07,380,no
25.38,0,0.08,355,no
25.75,9,0.08,430,no
25.13,0,0.08,360,no
25.13,6,0.07,360,no
26.13,19,0.1,960,no
25.19,0,0.08,345,no
25.19,0,0.07,345,no
25.38,0,0.07,355,no
25.31,0,0.07,370,no
25.31,0,0.08,355,no
25.19,0,0.07,360,no
25.31,0,0.07,355,no
25.44,0,0.07,375,no
25.56,0,0.07,430,no
25.19,0,0.08,345,no
25.44,0,0.07,355,no
25.25,17,0.08,355,no
25.19,0,0.09,345,no
25.31,0,0.08,355,no
25.38,0,0.07,370,no
25.25,0,0.07,345,no
25.19,15,0.08,355,no
25.13,0,0.08,345,no
25.44,0,0.08,385,no
25.44,0,0.07,385,no
25.19,0,0.06,345,no
25.25,0,0.08,365,no
25.06,3,0.07,360,no
25.13,6,0.08,350,no
25.44,0,0.08,350,no
25.25,14,0.12,355,no
25.19,0,0.08,345,no
25.88,0,0.06,775,no
25.19,0,0.08,355,no
25.38,0,0.08,350,no
25.44,0,0.08,350,no
25.31,0,0.07,360,no
25.31,0,0.07,355,no
25.25,0,0.07,360,no
25.38,0,0.07,375,no
25.13,0,0.08,345,no
25.19,16,0.07,355,no
25.25,0,0.07,365,no
25.19,0,0.08,345,no
25.25,0,0.07,345,no
25.31,0,0.07,345,no
25.44,0,0.08,350,no
25.06,5,0.08,350,no
25.44,0,0.07,370,no
25.13,6,0.06,360,no
25.13,0,0.06,360,no
25.44,0,0.09,350,no
25.19,0,0.08,345,no
25.13,0,0.08,350,no
25.38,0,0.08,355,no
25.38,0,0.07,365,no
25.19,12,0.08,355,no
26,15,0.08,630,no
26.06,18,0.07,930,no
25.44,0,0.08,355,no
25.19,0,0.08,360,no
25.19,0,0.07,345,no
25.25,0,0.07,360,no
25.31,0,0.08,355,no
25.63,0,0.07,520,no
25.13,5,0.07,345,no
25.13,12,0.08,355,no
26,0,0.07,890,no
25.19,0,0.08,360,no
25.5,0,0.07,390,no
25.06,1,0.07,360,no
25.31,0,0.07,355,no
25.25,0,0.08,360,no
25.38,0,0.07,365,no
25.06,5,0.07,360,no
25.44,1,0.08,350,no
25.06,6,0.08,350,no
25.44,3,0.07,350,no
25.06,6,0.08,350,no
25.44,0,0.07,350,no
25.06,1,0.07,360,no
25.81,13,0.07,625,no
